case,n,grid_N,lambda,R_eff,R_rel,J_max,J_gini
Config A,1,3,4,0.5,0.25,0.25,0.0
Config A,2,9,8,0.667147865236259,0.08339348315453238,0.14784259450228732,0.32461372765190705
Config A,3,27,16,0.8289007515519848,0.031880798136614805,0.07721341846623447,0.3729330636455866
Config A,4,81,32,1.027687186388414,0.012846089829855176,0.040403193552747296,0.4036625644700035
Config B,1,3,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.25
Config B,2,9,22,0.33242406187332313,0.04155300773416539,0.05252254312384835,0.275022851981361
Config B,3,27,50,0.40327989148802096,0.015510765057231575,0.031095848610676213,0.3254263774373296
Config B,4,81,106,0.49665596347684254,0.006208199543460532,0.016821733270770356,0.36229667329242754
Config C,1,3,7,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.25
Config C,2,9,25,0.3200000000000004,0.04000000000000005,0.04000000000000015,0.24999999999999986
Config C,3,27,62,0.3602046104095533,0.013854023477290513,0.026648294556063212,0.297871812635045
Config C,4,81,136,0.433364469147561,0.005417055864344512,0.015342440452062567,0.34199628484017486
